title,price,release,link
Russian Fishing 4,Free To Play,"10 Nov, 2021",https://store.steampowered.com/app/766570/Russian_Fishing_4/?snr=1_7_7_151_150_4
Call of Duty®: Modern Warfare® II - Demon Deer: Pro Pack,$19.99,"19 May, 2023",https://store.steampowered.com/app/2387940/Call_of_Duty_Modern_Warfare_II__Demon_Deer_Pro_Pack/?snr=1_7_7_151_150_4
Ashfall,none,Q3 2024,https://store.steampowered.com/app/2131860/Ashfall/?snr=1_7_7_151_150_4
Valheim,$10.49,"2 Feb, 2021",https://store.steampowered.com/app/892970/Valheim/?snr=1_7_7_151_150_4
Guild Wars 2,Free To Play,"23 Aug, 2022",https://store.steampowered.com/app/1284210/Guild_Wars_2/?snr=1_7_7_151_150_4
The Elder Scrolls V: Skyrim Special Edition,$24.99,"27 Oct, 2016",https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/?snr=1_7_7_151_150_4
Albion Online,Free to Play,"16 May, 2018",https://store.steampowered.com/app/761890/Albion_Online/?snr=1_7_7_151_150_4
Battlefield™ V,discount from $49.99 to $12.49 (75%),"22 Oct, 2020",https://store.steampowered.com/app/1238810/Battlefield_V/?snr=1_7_7_151_150_4
HELLDIVERS™ 2,none,2023,https://store.steampowered.com/app/553850/HELLDIVERS_2/?snr=1_7_7_151_150_5
Destiny 2: Season of the Deep Silver Bundle,$14.99,"23 May, 2023",https://store.steampowered.com/app/2218000/Destiny_2_Season_of_the_Deep_Silver_Bundle/?snr=1_7_7_151_150_5
Duck Game,$7.49,"4 Jun, 2015",https://store.steampowered.com/app/312530/Duck_Game/?snr=1_7_7_151_150_5
Unrecord,none,To be announced,https://store.steampowered.com/app/2381520/Unrecord/?snr=1_7_7_151_150_5
Sky: Children of the Light,Free To Play,To be announced,https://store.steampowered.com/app/2325290/Sky_Children_of_the_Light/?snr=1_7_7_151_150_5
Yu-Gi-Oh! Duel Links,Free to Play,"16 Nov, 2017",https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/?snr=1_7_7_151_150_5
American Truck Simulator,$11.99,"2 Feb, 2016",https://store.steampowered.com/app/270880/American_Truck_Simulator/?snr=1_7_7_151_150_5
Last Epoch,$16.49,"30 Apr, 2019",https://store.steampowered.com/app/899770/Last_Epoch/?snr=1_7_7_151_150_5
"Warhammer 40,000: Gladius - Relics of War",discount from $0.00 to Free (100%),"12 Jul, 2018",https://store.steampowered.com/app/489630/Warhammer_40000_Gladius__Relics_of_War/?snr=1_7_7_151_150_5
Marvel’s Spider-Man Remastered,$49.99,"12 Aug, 2022",https://store.steampowered.com/app/1817070/Marvels_SpiderMan_Remastered/?snr=1_7_7_151_150_5
X4: Foundations,discount from $22.99 to $13.79 (40%),"30 Nov, 2018",https://store.steampowered.com/app/392160/X4_Foundations/?snr=1_7_7_151_150_5
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",discount from $6.99 to $1.74 (75%),"14 May, 2014",https://store.steampowered.com/app/4570/Warhammer_40000_Dawn_of_War__Game_of_the_Year_Edition/?snr=1_7_7_151_150_5
Bloons TD 6,$13.99,"17 Dec, 2018",https://store.steampowered.com/app/960090/Bloons_TD_6/?snr=1_7_7_151_150_5
MARVEL SNAP,Free,"18 Oct, 2022",https://store.steampowered.com/app/1997040/MARVEL_SNAP/?snr=1_7_7_151_150_5
Automation - The Car Company Tycoon Game,$14.49,"12 Mar, 2015",https://store.steampowered.com/app/293760/Automation__The_Car_Company_Tycoon_Game/?snr=1_7_7_151_150_5
Gold Rush: The Game,discount from $10.49 to $5.24 (50%),"13 Oct, 2017",https://store.steampowered.com/app/451340/Gold_Rush_The_Game/?snr=1_7_7_151_150_5
Warhammer: Vermintide 2,discount from $17.99 to $3.59 (80%),"8 Mar, 2018",https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_151_150_5
Pummel Party,$8.49,"20 Sep, 2018",https://store.steampowered.com/app/880940/Pummel_Party/?snr=1_7_7_151_150_5
Garry's Mod,$6.99,"29 Nov, 2006",https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_151_150_5
theHunter: Call of the Wild™,$10.49,"16 Feb, 2017",https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_151_150_5
Battlefield™ 1,discount from $39.99 to $9.99 (75%),"11 Jun, 2020",https://store.steampowered.com/app/1238840/Battlefield_1/?snr=1_7_7_151_150_5
The Binding of Isaac: Rebirth,$8.00,"4 Nov, 2014",https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_7_7_151_150_5
Assetto Corsa  VR Supported,$10.49,"19 Dec, 2014",https://store.steampowered.com/app/244210/Assetto_Corsa/?snr=1_7_7_151_150_5
Stellaris: Galactic Paragons,$10.49,"9 May, 2023",https://store.steampowered.com/app/2380030/Stellaris_Galactic_Paragons/?snr=1_7_7_151_150_5
DCS World Steam Edition  VR Supported,Free,"2 Aug, 2013",https://store.steampowered.com/app/223750/DCS_World_Steam_Edition/?snr=1_7_7_151_150_5
Stellaris: Galactic Paragons,$10.49,"9 May, 2023",https://store.steampowered.com/app/2380030/Stellaris_Galactic_Paragons/?snr=1_7_7_151_150_6
DCS World Steam Edition  VR Supported,Free,"2 Aug, 2013",https://store.steampowered.com/app/223750/DCS_World_Steam_Edition/?snr=1_7_7_151_150_6
Town of Salem 2,discount from $9.99 to $8.99 (10%),"26 May, 2023",https://store.steampowered.com/app/2140510/Town_of_Salem_2/?snr=1_7_7_151_150_6
Shadows of Doubt,$14.49,"24 Apr, 2023",https://store.steampowered.com/app/986130/Shadows_of_Doubt/?snr=1_7_7_151_150_6
Gunsmith Simulator,none,June 2023,https://store.steampowered.com/app/1101120/Gunsmith_Simulator/?snr=1_7_7_151_150_6
Age of Empires IV: Anniversary Edition,$27.99,"28 Oct, 2021",https://store.steampowered.com/app/1466860/Age_of_Empires_IV_Anniversary_Edition/?snr=1_7_7_151_150_6
Fallout 76,$19.99,"14 Apr, 2020",https://store.steampowered.com/app/1151340/Fallout_76/?snr=1_7_7_151_150_6
Viewfinder,none,2023,https://store.steampowered.com/app/1382070/Viewfinder/?snr=1_7_7_151_150_6
Planet Zoo,$43.99,"5 Nov, 2019",https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_151_150_6
Europa Universalis IV,$26.99,"13 Aug, 2013",https://store.steampowered.com/app/236850/Europa_Universalis_IV/?snr=1_7_7_151_150_6
Beat Saber  VR Only,$14.49,"21 May, 2019",https://store.steampowered.com/app/620980/Beat_Saber/?snr=1_7_7_151_150_6
Lil Gator Game,$10.49,"14 Dec, 2022",https://store.steampowered.com/app/1586800/Lil_Gator_Game/?snr=1_7_7_151_150_6
Age of Empires II: Definitive Edition - Return of Rome,$14.99,"16 May, 2023",https://store.steampowered.com/app/2141580/Age_of_Empires_II_Definitive_Edition__Return_of_Rome/?snr=1_7_7_151_150_6
Conan Exiles,$22.99,"8 May, 2018",https://store.steampowered.com/app/440900/Conan_Exiles/?snr=1_7_7_151_150_6
Victoria 3,$33.49,"25 Oct, 2022",https://store.steampowered.com/app/529340/Victoria_3/?snr=1_7_7_151_150_6
Out of Action,none,To be announced,https://store.steampowered.com/app/1670780/Out_of_Action/?snr=1_7_7_151_150_6
